#  L TT            EE            BB            TE            PP            PT            PE           
 101 2.7292701e+03 7.9102211e-01 3.2845984e-03 -2.3800651e+01 1.0094963e-07 3.6186351e-04 -1.1043636e-06
 102 2.7607370e+03 8.0564409e-01 3.3507334e-03 -2.4462390e+01 1.0032721e-07 3.5773047e-04 -1.0802893e-06
 103 2.7924059e+03 8.2010335e-01 3.4175890e-03 -2.5123963e+01 9.9708417e-08 3.5367827e-04 -1.0554372e-06
 104 2.8242769e+03 8.3437048e-01 3.4851696e-03 -2.5785005e+01 9.9093279e-08 3.4970229e-04 -1.0304816e-06
 105 2.8563430e+03 8.4843828e-01 3.5534802e-03 -2.6444931e+01 9.8481862e-08 3.4579834e-04 -1.0060975e-06
 106 2.8885970e+03 8.6229216e-01 3.6225257e-03 -2.7103080e+01 9.7874227e-08 3.4196194e-04 -9.8295878e-07
 107 2.9210318e+03 8.7592491e-01 3.6923112e-03 -2.7759015e+01 9.7270433e-08 3.3818874e-04 -9.6173921e-07
 108 2.9536329e+03 8.8931456e-01 3.7628417e-03 -2.8412150e+01 9.6670551e-08 3.3447448e-04 -9.4311261e-07
 109 2.9864079e+03 9.0245390e-01 3.8341228e-03 -2.9061826e+01 9.6074666e-08 3.3081479e-04 -9.2775215e-07
 110 3.0193422e+03 9.1532095e-01 3.9061597e-03 -2.9707604e+01 9.5482793e-08 3.2720529e-04 -9.1633059e-07
 111 3.0524287e+03 9.2790847e-01 3.9789579e-03 -3.0348971e+01 9.4895025e-08 3.2364236e-04 -9.0935013e-07
 112 3.0856667e+03 9.4020893e-01 4.0525231e-03 -3.0985174e+01 9.4311344e-08 3.2012551e-04 -9.0663154e-07
 113 3.1190482e+03 9.5219994e-01 4.1268609e-03 -3.1615832e+01 9.3731753e-08 3.1665490e-04 -9.0782518e-07
 114 3.1525649e+03 9.6386651e-01 4.2019771e-03 -3.2240264e+01 9.3156254e-08 3.1323078e-04 -9.1258181e-07
 115 3.1862087e+03 9.7520846e-01 4.2778776e-03 -3.2857939e+01 9.2584839e-08 3.0985324e-04 -9.2055199e-07
 116 3.2199790e+03 9.8621083e-01 4.3545681e-03 -3.3468326e+01 9.2017522e-08 3.0652254e-04 -9.3138691e-07
 117 3.2538676e+03 9.9685122e-01 4.4320550e-03 -3.4070820e+01 9.1454275e-08 3.0323884e-04 -9.4473771e-07
 118 3.2878589e+03 1.0071295e+00 4.5103440e-03 -3.4664814e+01 9.0895079e-08 3.0000237e-04 -9.6025583e-07
 119 3.3219523e+03 1.0170306e+00 4.5894414e-03 -3.5249853e+01 9.0339981e-08 2.9681330e-04 -9.7759279e-07
